[ 2024-07-22 13:17:48,867 ] 30 root - INFO - Entered the data ingestion method or component
[ 2024-07-22 13:17:49,361 ] 33 root - INFO - Read the dataset as dataframe
[ 2024-07-22 13:17:50,791 ] 39 root - INFO - Train test split initiated
[ 2024-07-22 13:17:52,241 ] 46 root - INFO - Inmgestion of the data iss completed
[ 2024-07-22 13:17:52,717 ] 67 root - INFO - Read train and test data completed
[ 2024-07-22 13:17:52,973 ] 106 root - INFO - Obtaining preprocessing object
[ 2024-07-22 13:17:52,973 ] 111 root - INFO - Applying preprocessing object on training and testing dataframes
[ 2024-07-22 13:17:54,312 ] 130 root - INFO - Saved preprocessing object.
[ 2024-07-22 13:17:54,317 ] 30 root - INFO - Split training and test input data
